strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades,length,mult,rsi_window,rsi_lower,rsi_upper,atr_ratio_threshold,garch_window,vol_percentile,k,horizon,max_bars_back,kernel_lookback,kernel_alpha,ema_len,fast_window,slow_window,sl_stop,tp_stop
lorentzian_knn,4h,1.6684756206913929,1.8941151967264045,1.5476086587076254,1.4884898146284775,0.8248974008207934,0.2091497442760285,1.961623433311141,1206,,,,,,,,,2,8,1000,8,2.0,,,,0.03,
lorentzian_knn,4h,1.6340572505943003,1.858305598090848,1.5183616060100729,1.450755098516464,0.8303693570451436,0.2091497442760291,1.8908624156429443,1214,,,,,,,,,2,8,1000,8,1.0,,,,0.03,
lorentzian_knn,4h,1.579167223492468,1.8265870687595256,1.4892885296353806,1.3391527903268126,0.8392612859097127,0.2216855385711968,1.83306814473728,1227,,,,,,,,,2,8,1000,8,0.5,,,,0.03,
lorentzian_knn,4h,1.561206638618427,1.5976127548528438,1.381158390046346,1.6927133988779524,0.5341997264021888,0.1472030252686156,1.4381659586526734,781,,,,,,,,,2,8,1000,16,1.0,,,,0.03,
lorentzian_knn,4h,1.5610344227370692,1.6148076045613708,1.3998963907519226,1.6504748789564796,0.5294117647058824,0.1536266140174371,1.4726278221148523,774,,,,,,,,,2,8,1000,16,2.0,,,,0.03,
lorentzian_knn,4h,1.481461162932577,1.5621022029162572,1.289681774097317,1.5657191651229294,0.579343365253078,0.1618921370967907,1.4720017105263272,847,,,,,,,,,2,4,500,16,0.5,,,,0.03,
lorentzian_knn,4h,1.4699220141613545,1.5564974861617773,1.285383239893524,1.5390268257619546,0.5848153214774282,0.1647255282431073,1.4723128741822615,855,,,,,,,,,2,4,500,16,1.0,,,,0.03,
lorentzian_knn,4h,1.4624188873058626,1.5392439120138524,1.3363513485765264,1.486053059757879,0.5328317373461012,0.1605634585274255,1.356590494272172,779,,,,,,,,,2,8,1000,16,0.5,,,,0.03,
lorentzian_knn,4h,1.4554306458574522,1.5449263740210517,1.276707948679234,1.514825705484205,0.5882352941176471,0.1661177219225373,1.4575113945367728,860,,,,,,,,,2,4,500,16,2.0,,,,0.03,
lorentzian_knn,4h,1.3495272134626493,1.5591542805467429,1.249902317790608,1.1696493530225662,0.7824897400820794,0.2103322162122564,1.4135707412238177,1144,,,,,,,,,2,8,500,8,2.0,,,,0.03,
lorentzian_knn,4h,1.337244522078759,1.5458151010691228,1.238785702966526,1.1576092358705066,0.7852257181942545,0.2103322162122536,1.3939800182971342,1148,,,,,,,,,2,8,500,8,1.0,,,,0.03,
lorentzian_knn,4h,1.3324336893659785,1.5420506094508577,1.2342667423730571,1.1511114095790596,0.7906976744186046,0.2105591913856133,1.3854659878099511,1156,,,,,,,,,2,8,500,8,0.5,,,,0.03,
lorentzian_knn,4h,1.2912672090357076,1.28156844982785,1.107522749877894,1.4879433471373311,0.4528043775649795,0.1366612718484463,1.0991173588699732,662,,,,,,,,,4,8,500,16,2.0,,,,0.03,
lorentzian_knn,4h,1.2734012040619669,1.51240524802175,1.1669606161229882,1.061169733387901,1.2031463748290014,0.2177356898754711,1.2995615925888626,1759,,,,,,,,,2,8,1000,4,2.0,,,,0.03,
lorentzian_knn,4h,1.2734012040619669,1.51240524802175,1.1669606161229882,1.061169733387901,1.2031463748290014,0.2177356898754711,1.2995615925888626,1759,,,,,,,,,2,8,1000,4,1.0,,,,0.03,
lorentzian_knn,4h,1.2734012040619669,1.51240524802175,1.1669606161229882,1.061169733387901,1.2031463748290014,0.2177356898754711,1.2995615925888626,1759,,,,,,,,,2,8,1000,4,0.5,,,,0.03,
lorentzian_knn,4h,1.2684825185665136,1.4538734772294697,1.1368084583182352,1.1529686339308507,0.8255813953488372,0.1966771386877205,1.2676131054895552,1207,,,,,,,,,4,4,500,8,0.5,,,,0.03,
