strategy,timeframe,composite,sortino,sharpe,calmar,trades_per_day,max_drawdown,total_return,n_trades,length,mult,rsi_window,rsi_lower,rsi_upper,atr_ratio_threshold,garch_window,vol_percentile,k,horizon,max_bars_back,kernel_lookback,kernel_alpha,ema_len,fast_window,slow_window,sl_stop,tp_stop,n_estimators,max_depth,xgb_threshold,use_garch,train_window_bars,predict_window_bars
vec_rsi_xgb_regime,4h,1.3959788195944998,1.299166838410159,1.3738309536858204,1.5472093270823004,0.4090287277701778,0.1410210937446384,1.2047924821269136,598,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,3,0.5,,1080,180
vec_rsi_xgb_regime,4h,1.3226096840852943,1.1892615522684975,1.2717734558148122,1.5512434214448392,0.3987688098495212,0.1229433700661238,1.0122476870185766,583,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,5,0.55,,1080,180
vec_rsi_xgb_regime,4h,1.3049884585769287,1.1932610405956567,1.1915880951730786,1.5673587126224744,0.4945280437756498,0.1253600904968428,1.05158907184074,723,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,3,0.4,,1080,180
vec_rsi_xgb_regime,4h,1.2739268759879214,1.1902818097622612,1.223777640974718,1.4356028659686717,0.4555403556771545,0.1373613560420105,1.0564849764134563,666,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,3,0.45,,1080,180
vec_rsi_xgb_regime,4h,1.2495492988675776,1.0968319682406775,1.1290833907287383,1.5736383145089496,0.4596443228454172,0.1123300567297556,0.9194701915897,672,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,3,0.45,,1080,180
vec_rsi_xgb_regime,4h,1.2077495398247882,1.1191830998296162,1.2160544029163671,1.317533263393439,0.3768809849521203,0.1379118082271801,0.9519304912929328,551,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,3,0.55,,1080,180
vec_rsi_xgb_regime,4h,1.2043763937750152,1.1575606927713098,1.2488515744393671,1.2223221477822706,0.4042407660738714,0.1722483740620392,1.1498762560423317,591,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.05,,100,3,0.5,,1080,180
vec_rsi_xgb_regime,4h,1.171574967358348,1.0822794379375715,1.089298475850029,1.3729121647610352,0.506155950752394,0.1294646699374672,0.925860403714054,740,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,100,3,0.4,,1080,180
vec_rsi_xgb_regime,4h,1.1577473144980177,1.043376249329055,1.1394960166117472,1.328493365942904,0.3974008207934336,0.1259921618990124,0.8588639297505513,581,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,3,0.55,,1080,180
vec_rsi_xgb_regime,4h,1.138332715031551,1.0191527614164166,1.1355611979115596,1.3000108369717214,0.3679890560875513,0.1229824445903842,0.8114750900705757,538,15.0,1.0,14.0,35.0,65.0,0.8,,,,,,,,,,,0.03,,200,5,0.6,,1080,180
